,CO2,RCP26,RCP45,RCP60,RCP85
1853,284.730999828568,na,na,na,na
1854,284.845999805949,na,na,na,na
1855,284.940999795651,na,na,na,na
1856,285.048999782585,na,na,na,na
1857,285.20399977284,na,na,na,na
1858,285.368999765324,na,na,na,na
1859,285.54499975018,na,na,na,na
1860,285.73899972727,na,na,na,na
1861,285.932999712095,na,na,na,na
1862,286.099999702022,na,na,na,na
1863,286.270999683975,na,na,na,na
1864,286.441999662368,na,na,na,na
1865,286.613999643223,na,na,na,na
1866,286.780999627782,na,na,na,na
1867,286.954999606091,na,na,na,na
1868,287.104999589739,na,na,na,na
1869,287.224999569047,na,na,na,na
1870,287.354999554298,na,na,na,na
1871,287.493999528791,na,na,na,na
1872,287.663999490614,na,na,na,na
1873,287.859999466552,na,na,na,na
1874,288.060999474767,na,na,na,na
1875,288.29099944873,na,na,na,na
1876,288.51999943517,na,na,na,na
1877,288.751999423484,na,na,na,na
1878,288.992999412669,na,na,na,na
1879,289.220999376783,na,na,na,na
1880,289.469999320198,na,na,na,na
1881,289.736999291098,na,na,na,na
1882,290.018999256594,na,na,na,na
1883,290.262999219848,na,na,na,na
1884,290.511999204707,na,na,na,na
1885,290.796999194397,na,na,na,na
1886,291.099999177286,na,na,na,na
1887,291.41399913878,na,na,na,na
1888,291.762999076226,na,na,na,na
1889,292.11299905472,na,na,na,na
1890,292.457998994675,na,na,na,na
1891,292.815998952761,na,na,na,na
1892,293.166998939368,na,na,na,na
1893,293.47699893819,na,na,na,na
1894,293.790998906272,na,na,na,na
1895,294.07899885431,na,na,na,na
1896,294.364998814724,na,na,na,na
1897,294.645998765603,na,na,na,na
1898,294.953998697529,na,na,na,na
1899,295.29999857844,na,na,na,na
1900,295.674998441674,na,na,na,na
1901,296.00699796647,na,na,na,na
1902,296.324997426966,na,na,na,na
1903,296.65399683721,na,na,na,na
1904,296.953996304816,na,na,na,na
1905,297.288995727878,na,na,na,na
1906,297.661995136884,na,na,na,na
1907,298.097994484458,na,na,na,na
1908,298.517994006017,na,na,na,na
1909,298.935993455404,na,na,na,na
1910,299.376992880373,na,na,na,na
1911,299.828992337281,na,na,na,na
1912,300.352991748678,na,na,na,na
1913,300.909991143806,na,na,na,na
1914,301.418990778864,na,na,na,na
1915,301.936990306897,na,na,na,na
1916,302.484989686417,na,na,na,na
1917,303.010989101134,na,na,na,na
1918,303.448988649144,na,na,na,na
1919,303.813988334742,na,na,na,na
1920,304.245987680735,na,na,na,na
1921,304.599987339398,na,na,na,na
1922,304.944986769602,na,na,na,na
1923,305.270986051848,na,na,na,na
1924,305.629985518364,na,na,na,na
1925,305.812985014455,na,na,na,na
1926,305.953984520879,na,na,na,na
1927,306.17698387194,na,na,na,na
1928,306.32898332411,na,na,na,na
1929,306.49498271638,na,na,na,na
1930,306.619982384951,na,na,na,na
1931,306.821982136992,na,na,na,na
1932,307.092981823192,na,na,na,na
1933,307.401981252789,na,na,na,na
1934,307.784980593634,na,na,na,na
1935,308.226979962101,na,na,na,na
1936,309.011979254044,na,na,na,na
1937,309.763978615855,na,na,na,na
1938,310.293978204746,na,na,na,na
1939,310.850977584352,na,na,na,na
1940,311.356976868613,na,na,na,na
1941,311.810976277388,na,na,na,na
1942,312.171975739582,na,na,na,na
1943,312.389975175671,na,na,na,na
1944,312.412974751704,na,na,na,na
1945,312.384974608474,na,na,na,na
1946,312.389973964515,na,na,na,na
1947,312.485973184282,na,na,na,na
1948,312.520972534148,na,na,na,na
1949,312.631972055313,na,na,na,na
1950,312.820971341375,na,na,na,na
1951,313.013970606384,na,na,na,na
1952,313.341970021567,na,na,na,na
1953,313.729969427623,na,na,na,na
1954,314.094968812929,na,na,na,na
1955,314.414967972057,na,na,na,na
1956,314.697967186718,na,na,na,na
1957,314.991966523988,na,na,na,na
1958,315.344965869144,na,na,na,na
1959,315.98,na,na,na,na
1960,316.91,na,na,na,na
1961,317.64,na,na,na,na
1962,318.45,na,na,na,na
1963,318.99,na,na,na,na
1964,319.62,na,na,na,na
1965,320.04,na,na,na,na
1966,321.37,na,na,na,na
1967,322.18,na,na,na,na
1968,323.05,na,na,na,na
1969,324.62,na,na,na,na
1970,325.68,na,na,na,na
1971,326.32,na,na,na,na
1972,327.46,na,na,na,na
1973,329.68,na,na,na,na
1974,330.19,na,na,na,na
1975,331.12,na,na,na,na
1976,332.03,na,na,na,na
1977,333.84,na,na,na,na
1978,335.41,na,na,na,na
1979,336.84,na,na,na,na
1980,338.76,na,na,na,na
1981,340.12,na,na,na,na
1982,341.48,na,na,na,na
1983,343.15,na,na,na,na
1984,344.85,na,na,na,na
1985,346.35,na,na,na,na
1986,347.61,na,na,na,na
1987,349.31,na,na,na,na
1988,351.69,na,na,na,na
1989,353.20,na,na,na,na
1990,354.45,na,na,na,na
1991,355.70,na,na,na,na
1992,356.54,na,na,na,na
1993,357.21,na,na,na,na
1994,358.96,na,na,na,na
1995,360.97,na,na,na,na
1996,362.74,na,na,na,na
1997,363.88,na,na,na,na
1998,366.84,na,na,na,na
1999,368.54,na,na,na,na
2000,369.71,364.367,364.367,364.367,364.367
2001,371.32,na,na,na,na
2002,373.45,na,na,na,na
2003,375.98,na,na,na,na
2004,377.70,na,na,na,na
2005,379.98,375.107,375.148,375.014,375.200
2006,382.09,na,na,na,na
2007,384.03,na,na,na,na
2008,385.83,na,na,na,na
2009,387.64,na,na,na,na
2010,390.10,390.125,390.164,387.607,392.058
2011,391.85,na,na,na,na
2012,394.06,na,na,na,na
2013,396.74,na,na,na,na
2014,398.87,na,na,na,na
2015,401.01,na,na,na,na
2016,404.41,na,na,na,na
2017,406.76,na,na,na,na
2018,408.72,na,na,na,na
2019,411.66,na,na,na,na
2020,414.24,423.464,423.269,415.770,429.091
2030,na,445.154,457.458,445.562,479.089
2040,na,455.980,492.998,470.718,545.794
2050,na,455.441,526.376,505.132,628.430
2060,na,447.834,551.912,542.447,725.227
2070,na,441.343,569.176,599.425,834.844
2080,na,436.475,576.427,656.941,954.053
2090,na,431.473,576.766,698.566,1091.072
2100,na,426.963,580.909,728.124,1231.445
