,CO2,RCP26,RCP45,RCP60,RCP85
501,277.192,na,na,na,na
502,277.186,na,na,na,na
503,277.172,na,na,na,na
504,277.158,na,na,na,na
505,277.141,na,na,na,na
506,277.137,na,na,na,na
507,277.122,na,na,na,na
508,277.116,na,na,na,na
509,277.11,na,na,na,na
510,277.099,na,na,na,na
511,277.084,na,na,na,na
512,277.072,na,na,na,na
513,277.063,na,na,na,na
514,277.052,na,na,na,na
515,277.048,na,na,na,na
516,277.041,na,na,na,na
517,277.033,na,na,na,na
518,277.026,na,na,na,na
519,277.024,na,na,na,na
520,277.015,na,na,na,na
521,277.01,na,na,na,na
522,277.009,na,na,na,na
523,277.004,na,na,na,na
524,277.011,na,na,na,na
525,277.012,na,na,na,na
526,277.015,na,na,na,na
527,277.016,na,na,na,na
528,277.013,na,na,na,na
529,277.014,na,na,na,na
530,277.013,na,na,na,na
531,277.013,na,na,na,na
532,277.036,na,na,na,na
533,277.045,na,na,na,na
534,277.053,na,na,na,na
535,277.056,na,na,na,na
536,277.055,na,na,na,na
537,277.063,na,na,na,na
538,277.057,na,na,na,na
539,277.057,na,na,na,na
540,277.074,na,na,na,na
541,277.07,na,na,na,na
542,277.076,na,na,na,na
543,277.092,na,na,na,na
544,277.094,na,na,na,na
545,277.095,na,na,na,na
546,277.109,na,na,na,na
547,277.112,na,na,na,na
548,277.112,na,na,na,na
549,277.13,na,na,na,na
550,277.136,na,na,na,na
551,277.125,na,na,na,na
552,277.122,na,na,na,na
553,277.114,na,na,na,na
554,277.131,na,na,na,na
555,277.127,na,na,na,na
556,277.124,na,na,na,na
557,277.123,na,na,na,na
558,277.131,na,na,na,na
559,277.131,na,na,na,na
560,277.132,na,na,na,na
561,277.146,na,na,na,na
562,277.139,na,na,na,na
563,277.139,na,na,na,na
564,277.14,na,na,na,na
565,277.148,na,na,na,na
566,277.146,na,na,na,na
567,277.146,na,na,na,na
568,277.153,na,na,na,na
569,277.15,na,na,na,na
570,277.146,na,na,na,na
571,277.155,na,na,na,na
572,277.161,na,na,na,na
573,277.159,na,na,na,na
574,277.169,na,na,na,na
575,277.173,na,na,na,na
576,277.178,na,na,na,na
577,277.181,na,na,na,na
578,277.191,na,na,na,na
579,277.194,na,na,na,na
580,277.198,na,na,na,na
581,277.212,na,na,na,na
582,277.226,na,na,na,na
583,277.241,na,na,na,na
584,277.262,na,na,na,na
585,277.277,na,na,na,na
586,277.292,na,na,na,na
587,277.303,na,na,na,na
588,277.323,na,na,na,na
589,277.335,na,na,na,na
590,277.347,na,na,na,na
591,277.366,na,na,na,na
592,277.381,na,na,na,na
593,277.403,na,na,na,na
594,277.425,na,na,na,na
595,277.43,na,na,na,na
596,277.436,na,na,na,na
597,277.446,na,na,na,na
598,277.47,na,na,na,na
599,277.488,na,na,na,na
600,277.508,na,na,na,na
601,277.514,na,na,na,na
602,277.529,na,na,na,na
603,277.55,na,na,na,na
604,277.576000000001,na,na,na,na
605,277.591000000001,na,na,na,na
606,277.604999999999,na,na,na,na
607,277.619,na,na,na,na
608,277.636000000001,na,na,na,na
609,277.656000000001,na,na,na,na
610,277.674000000009,na,na,na,na
611,277.687000000009,na,na,na,na
612,277.701999999968,na,na,na,na
613,277.721999999998,na,na,na,na
614,277.744,na,na,na,na
615,277.773,na,na,na,na
616,277.789,na,na,na,na
617,277.807,na,na,na,na
618,277.826,na,na,na,na
619,277.851,na,na,na,na
620,277.873,na,na,na,na
621,277.886,na,na,na,na
